,Week,Day,Date,Time,boxscore,Result,OT,Rec,Home/Away,Opp Name,Team Score,Opp Score,Off1stD_x,OffTotYd_x,OffPassY_x,OffRushY_x,OffTO_x,Def1stD_x,DefTotYd_x,DefPassY_x,DefRushY_x,DefTO_x,Offense,Defense,Sp. Tms,Team,Year,Team_Scoring_Spread,Rolling_Scoring_Spread,Rolling_Strength,Opp_Scoring_Spread,Opp_Rolling_Strength,Rolling_Off1stD,Rolling_OffTotYd,Rolling_OffPassY,Rolling_OffRushY,Rolling_OffTO,Rolling_Def1stD,Rolling_DefTotYd,Rolling_DefPassY,Rolling_DefRushY,Rolling_DefTO,Opp_Rolling_Off1stD,Opp_Rolling_OffTotYd,Opp_Rolling_OffPassY,Opp_Rolling_OffRushY,Opp_Rolling_OffTO,Opp_Rolling_Off1stD,Opp_Rolling_DefTotYd,Opp_Rolling_DefPassY,Opp_Rolling_DefRushY,Opp_Rolling_DefTO,Betting Spread,Datetime,Time_Rounded,Home_Team,Away_Team,is_intl,City,State,Temp,Weather Code,Windspeed,0,1,2,3,51,53,55,61,63,71,73,75,Cover
0,1,Sun,2020-09-13,16:25:00,boxscore,W,0,1-0,1,San Francisco 49ers,24,20,29,404,224,180,1,18,366,243,123,0,6.46,-3.88,-0.46,Arizona Cardinals,2020,4,4.0,4.0,-4.0,-4.0,,,,,,,,,,,,,,,,,,,,,7.0,2020-09-13 16:25:00,2020-09-13T16:00,San Francisco 49ers,Arizona Cardinals,0,Santa Clara,California,78.0,0,9.8,1,0,0,0,0,0,0,0,0,0,0,0,11.0
1,13,Mon,2020-12-07,20:15:00,boxscore,W,0,9-3,1,San Francisco 49ers,34,24,31,449,368,81,1,24,402,316,86,2,18.14,-6.59,0.36,Buffalo Bills,2020,10,27.0,2.08,-3.0,-0.23,25.333333333333332,383.3333333333333,274.6666666666667,108.66666666666667,2.0,24.666666666666668,407.3333333333333,281.0,126.33333333333333,1.6666666666666667,21.0,342.6666666666667,260.3333333333333,82.33333333333333,3.0,20.666666666666668,331.3333333333333,224.33333333333334,107.0,2.3333333333333335,1.5,2020-12-07 20:15:00,2020-12-07T20:00,San Francisco 49ers,Buffalo Bills,0,Santa Clara,California,67.8,0,6.1,1,0,0,0,0,0,0,0,0,0,0,0,11.5
2,9,Thu,2020-11-05,20:20:00,boxscore,W,0,6-2,1,San Francisco 49ers,34,17,21,405,294,111,0,17,337,282,55,2,19.59,-0.24,-3.72,Green Bay Packers,2020,17,49.0,5.44,18.0,2.0,22.333333333333332,394.6666666666667,289.3333333333333,105.33333333333333,0.3333333333333333,19.0,342.0,239.66666666666666,102.33333333333333,1.0,22.333333333333332,385.0,283.6666666666667,101.33333333333333,2.0,21.666666666666668,332.0,230.0,102.0,1.3333333333333333,-6.0,2020-11-05 20:20:00,2020-11-05T20:00,San Francisco 49ers,Green Bay Packers,0,Santa Clara,California,77.8,1,10.3,0,1,0,0,0,0,0,0,0,0,0,0,11.0
3,6,Sun,2020-10-18,20:20:00,boxscore,L,0,4-2,1,San Francisco 49ers,16,24,17,311,198,113,1,24,390,268,122,0,2.05,-12.69,2.53,Los Angeles Rams,2020,-8,38.0,6.33,18.0,3.0,17.333333333333332,326.6666666666667,226.66666666666666,100.0,1.0,17.666666666666668,264.3333333333333,165.66666666666666,98.66666666666667,0.3333333333333333,22.666666666666668,355.3333333333333,232.33333333333334,123.0,2.0,19.0,338.0,238.0,100.0,0.6666666666666666,-2.5,2020-10-18 20:20:00,2020-10-18T20:00,San Francisco 49ers,Los Angeles Rams,0,Santa Clara,California,83.9,0,8.4,1,0,0,0,0,0,0,0,0,0,0,0,-10.5
4,5,Sun,2020-10-11,16:05:00,boxscore,W,0,2-3,1,San Francisco 49ers,43,17,22,436,342,94,0,19,259,128,131,3,19.36,9.48,0.03,Miami Dolphins,2020,26,23.0,4.6,10.0,2.0,23.333333333333332,381.6666666666667,270.0,111.66666666666667,0.6666666666666666,22.333333333333332,339.3333333333333,239.0,100.33333333333333,2.0,24.333333333333332,365.3333333333333,252.0,113.33333333333333,2.0,17.666666666666668,311.3333333333333,227.0,84.33333333333333,1.3333333333333333,8.5,2020-10-11 16:05:00,2020-10-11T16:00,San Francisco 49ers,Miami Dolphins,0,Santa Clara,California,74.3,0,5.6,1,0,0,0,0,0,0,0,0,0,0,0,34.5
5,4,Sun,2020-10-04,20:20:00,boxscore,W,0,1-2-1,1,San Francisco 49ers,25,20,18,267,174,93,1,25,417,301,116,3,0.66,-0.02,3.75,Philadelphia Eagles,2020,5,-23.0,-5.75,36.0,9.0,23.333333333333332,336.0,207.33333333333334,128.66666666666666,2.0,26.333333333333332,390.0,271.6666666666667,118.33333333333333,1.3333333333333333,23.666666666666668,398.6666666666667,268.3333333333333,130.33333333333334,1.3333333333333333,16.0,258.3333333333333,170.66666666666666,87.66666666666667,1.3333333333333333,8.5,2020-10-04 20:20:00,2020-10-04T20:00,San Francisco 49ers,Philadelphia Eagles,0,Santa Clara,California,84.0,0,10.1,1,0,0,0,0,0,0,0,0,0,0,0,13.5
6,1,Sun,2020-09-13,16:25:00,boxscore,L,0,0-1,0,Arizona Cardinals,20,24,18,366,243,123,0,29,404,224,180,1,3.88,-6.46,0.46,San Francisco 49ers,2020,-4,-4.0,-4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,-7.0,2020-09-13 16:25:00,2020-09-13T16:00,San Francisco 49ers,Arizona Cardinals,0,Santa Clara,California,78.0,0,9.8,1,0,0,0,0,0,0,0,0,0,0,0,-11.0
7,4,Sun,2020-10-04,20:20:00,boxscore,L,0,2-2,0,Philadelphia Eagles,20,25,25,417,301,116,3,18,267,174,93,1,0.02,-0.66,-3.75,San Francisco 49ers,2020,-5,36.0,9.0,-23.0,-5.75,23.666666666666668,398.6666666666667,268.3333333333333,130.33333333333334,1.3333333333333333,16.0,258.3333333333333,170.66666666666666,87.66666666666667,1.3333333333333333,23.333333333333332,336.0,207.33333333333334,128.66666666666666,2.0,26.333333333333332,390.0,271.6666666666667,118.33333333333333,1.3333333333333333,-8.5,2020-10-04 20:20:00,2020-10-04T20:00,San Francisco 49ers,Philadelphia Eagles,0,Santa Clara,California,84.0,0,10.1,1,0,0,0,0,0,0,0,0,0,0,0,-13.5
8,5,Sun,2020-10-11,16:05:00,boxscore,L,0,2-3,0,Miami Dolphins,17,43,19,259,128,131,3,22,436,342,94,0,-9.48,-19.36,-0.03,San Francisco 49ers,2020,-26,10.0,2.0,23.0,4.6,24.333333333333332,365.3333333333333,252.0,113.33333333333333,2.0,17.666666666666668,311.3333333333333,227.0,84.33333333333333,1.3333333333333333,23.333333333333332,381.6666666666667,270.0,111.66666666666667,0.6666666666666666,22.333333333333332,339.3333333333333,239.0,100.33333333333333,2.0,-8.5,2020-10-11 16:05:00,2020-10-11T16:00,San Francisco 49ers,Miami Dolphins,0,Santa Clara,California,74.3,0,5.6,1,0,0,0,0,0,0,0,0,0,0,0,-34.5
9,6,Sun,2020-10-18,20:20:00,boxscore,W,0,3-3,0,Los Angeles Rams,24,16,24,390,268,122,0,17,311,198,113,1,12.69,-2.05,-2.53,San Francisco 49ers,2020,8,18.0,3.0,38.0,6.33,22.666666666666668,355.3333333333333,232.33333333333334,123.0,2.0,19.0,338.0,238.0,100.0,0.6666666666666666,17.333333333333332,326.6666666666667,226.66666666666666,100.0,1.0,17.666666666666668,264.3333333333333,165.66666666666666,98.66666666666667,0.3333333333333333,2.5,2020-10-18 20:20:00,2020-10-18T20:00,San Francisco 49ers,Los Angeles Rams,0,Santa Clara,California,83.9,0,8.4,1,0,0,0,0,0,0,0,0,0,0,0,10.5
